id,name,protein,fat,carbohydrate,vitaminA,vitaminB1,vitaminB2,vitaminB3,vitaminB5,vitaminB6,vitaminB12,vitaminC,vitaminD,vitaminK
48,こむぎ　［中華めん類］　干し中華めん　乾　,10.5,1.6,73,0,0.03,0.03,1,0.78,0.05,0,0,0,0
49,こむぎ　［中華めん類］　干し中華めん　ゆで　,4.1,0.5,28.1,0,0.01,0.01,0.2,0.24,0,Tr,0,0,0
50,こむぎ　［中華めん類］　沖縄そば　生　,9.2,2,54.2,0,0.02,0.04,0.8,0.63,0.11,0,0,0,0
51,こむぎ　［中華めん類］　沖縄そば　ゆで　,5.2,0.8,28,0,0.01,0.02,0.2,0.23,0.03,0,0,0,0
52,こむぎ　［中華めん類］　干し沖縄そば　乾　,12,1.7,67.8,0,0.12,0.05,1.1,0.49,0.05,0,0,0,0
53,こむぎ　［中華めん類］　干し沖縄そば　ゆで　,5.2,0.6,28.6,0,0.02,0.02,0.2,0.18,0.01,0,0,0,0
54,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け　,10.1,16.7,63.5,0,1.46,1.67,1,0.41,0.06,0,0,0,1
55,こむぎ　［即席めん類］　即席中華めん　油揚げ　,10.1,19.1,61.4,1,0.55,0.83,0.9,0.44,0.05,Tr,Tr,0,3
56,こむぎ　［即席めん類］　即席中華めん　非油揚げ　,10.3,5.2,67.1,1,0.21,0.04,1,0.37,0.05,Tr,0,0,3
57,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　,10.7,19.7,56.9,28,0.68,0.53,1,0.52,0.07,0.2,1,Tr,7
58,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　,8.4,18.9,58.1,7,0.56,0.72,0.8,0.4,0.04,Tr,1,0,14
59,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　,9,6.4,62.2,10,0.22,0.24,1.5,0.41,0.07,0.1,1,0,8
60,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　,10.9,20.1,56.6,5,0.24,0.3,1.1,0.41,0.05,0.2,1,0.2,7
63,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾　,12.2,1.9,73.9,1,0.19,0.06,2.3,0.66,0.11,0,0,0,0
64,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで　,5.4,0.9,32,0,0.06,0.03,0.6,0.28,0.02,0,0,0,0
65,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生　,7.8,1.9,46.9,0,0.05,0.04,1.1,0.27,0.05,0,0,-,0
66,こむぎ　［ふ類］　生ふ　　,12.7,0.8,26.2,0,0.08,0.03,0.5,0.12,0.02,0,0,0,0
67,こむぎ　［ふ類］　焼きふ　釜焼きふ　,28.5,2.7,56.9,0,0.16,0.07,3.5,0.58,0.08,0,0,0,0
68,こむぎ　［ふ類］　焼きふ　板ふ　,25.6,3.3,57.3,0,0.2,0.08,3.6,0.79,0.16,0,0,0,0
69,こむぎ　［ふ類］　焼きふ　車ふ　,30.2,3.4,54.2,0,0.12,0.07,2.9,0.47,0.07,0,0,0,0
70,こむぎ　［その他］　小麦はいが　　,32,11.6,48.3,5,1.82,0.71,4.2,1.34,1.24,0,0,0,2
71,こむぎ　［その他］　小麦たんぱく　粉末状　,72,9.7,10.6,1,0.03,0.12,3.5,0.61,0.1,0,0,0,0
72,こむぎ　［その他］　小麦たんぱく　粒状　,20,2,1.8,0,0.02,0.01,1.2,0,0.01,0,0,0,0
73,こむぎ　［その他］　小麦たんぱく　ペースト状　,25,4.1,3.9,1,0.2,0.03,2.7,0.45,0.04,0,0,0,0
74,こむぎ　［その他］　ぎょうざの皮　　,9.3,1.4,57,0,0.08,0.04,0.7,0.61,0.06,0,0,0,0
75,こむぎ　［その他］　しゅうまいの皮　　,8.3,1.4,58.9,0,0.09,0.04,0.6,0.5,0.05,0,0,0,0
76,こむぎ　［その他］　ピザ生地　,9.1,3,51.1,0,0.15,0.11,1,0.54,0.05,0,0,0,0
77,こむぎ　［その他］　ちくわぶ　　,7.1,1.2,31.1,0,0.01,0.02,0.3,0.25,0.01,0,0,0,0
78,こむぎ　［その他］　パン粉　生　,11,5.1,47.6,0,0.11,0.02,1.2,0.41,0.05,0,0,0,(Tr)
